date,comment,recommend_count,unrecommend_count,reply_count
2024.06.29. 10:15,발볼이 넓은사람은 나이키가 불편해서 안신게됨,1095,34,36
2024.06.29. 09:59,난 나이키만 신는데? 신발은 나이키,968,381,47
2024.06.29. 10:02,디자인으로 신는거지 발이 편하진않음,321,37,15
2024.06.29. 10:12,발이 더 편하거나 디자인이 좋거나 하는 신발들이 많아졌지 사실 경쟁력이 없잖아,204,12,4
2024.06.29. 11:24,뉴발란스가 확실히 편해요. 이번에 아디다스 삼바도 사봤는데 나이키보다는 편하더라고요. 나이키는 발볼이 너무 좁아요 ㅠㅠ,88,6,3
2024.06.29. 11:52,발볼이 너무좁다,70,0,1
2024.06.29. 12:22,허구한날 한정판이라고 콜라보네뭐네 출시소식만 주구장창 뿌리고 막상 매장가면 그림자구경도 못하는 신발들로 기만하더니 꼴좋타 ㅋㅋㅋ,64,1,0
2024.06.29. 15:18,잘나가던 시절에 충성 고객들이 나이가 들어버렸어...그러다 보니 브랜드도 같이 늙어버림,41,1,1
2024.06.29. 10:54,스케쳐스 한번 신어보세요. 착용감 최고고 디자인도 정말 굿이예요. 2개 있어요.,51,13,5
2024.06.29. 18:58,"솔직히 나이키가 편하다고요..????진심 레알이세요??ㅋㅋ그똑같은 가격대로 아디다스,뉴발신는게 훨 더 편하지 아니 무슨 운동화를 칼발같이 만들어놨어…발볼에 맞춰서 심을려면 한치수 크게 사야하는데 그렇게 사면 뒷꿈치가 남음…그래서 끈을 당겨서 묶게됨 그러면 또 발볼이 불편해짐",36,5,0
2024.06.29. 11:45,제목다는 꼬라지보소... ㅉㅉㅉ “요새 누가 국민일보 봐요” ㅋㅋㅋㅋ 기분좋지? ㅎ,34,6,0
2024.06.29. 09:58,나이키 많이 신던데,28,3,0
2024.06.29. 12:01,아시아인과 아시아환경적측면을 많이 고려하지않는 브랜드같음.옷은 절대적으로크고 길고 신발은 좁고 길고 . 그걸또 힙하다고 입는 애들ㅋㅋ,25,5,0
2024.06.29. 13:03,나이키는 가격대비 품질이 엉망...나이키보다 싸고 품질좋은 물건이 수두룩한데 모델에 거액을 지불하고 품질경쟁을 하려니 가성비가 떨어질수밖에 없지.,20,0,0
2024.06.29. 13:52,PC하다가 망하겠네,19,2,1
2024.06.29. 10:56,솔직히 메이커 값임. 이넘들 인체공학적 편안함 같은건 신경도 안쓰는거 같은데. 그저께 나이키 슬리퍼 샀는데 역시나 그지같은 착용감ㅜㅜ,19,3,0
2024.06.29. 16:26,동양인은 발볼 넓어서 나이키랑은 잘 안맞는듯,17,2,0
2024.06.29. 10:54,유행은 결국 돌고 돈다. 저가 매수 적기임!!,15,4,2
2024.06.29. 13:40,아식스가 대세인듯,15,6,0
2024.06.29. 12:47,옷이나 신발제질도 예전보다 질도많이떠러졌고 가격은 더올랐으니 구입하는 사람들이 저조할수밖에 디자인자체도 많이 못미치는것같음!!,11,2,0
2024.06.29. 15:18,흑인 뚱녀 모델 파급력이 큼 pc 폐미묻으면 외국에서도 죄다 나락가고있는데 꾸역꾸역 정신병 사상 강요하는 애들때문에 멀쩡한 기업들도 줄줄이 나락가는중,11,3,0
2024.06.29. 17:55,90년대 나이키 발이 편하고 좋은신발이었는데. 요즘 그렇지도 않음....볼좁고 무겁고 가격대비 퀄이 안나옴.,8,0,0
2024.06.29. 11:18,브랜드는 프로스펙스지,9,2,2
2024.06.29. 16:08,이제 러닝용은 호카나 아식스가 좋은걸 신어보면 다 아니까. 발볼이 넓고 발등이 높은 동양인에겐 호카 신어보면 꿀맛임. 아식스도 그렇고. 나이키는 오히려 너무 제품이 다양화되면서 전문성이 부족하고 발볼이 좁아 불편,6,0,0
2024.06.29. 16:06,"비전이 안보여서 하락세는 맞는데, 오리지날로 연명하는 아디다스보다는 백배 낫다… 포지션을 대체할 브랜드도 딱히 없음",6,0,0
2024.06.29. 15:08,나이키신발은 볼이너무좁아서 아파요.,6,0,0
2024.06.29. 16:16,운동화 편한걸로 치면 아식스가 제일 편하더라,11,6,0
2024.06.29. 15:22,페미 뭍으면 안사게되더라... 대체 브랜드도 많고 앞으로 평생 안살듯,8,3,0
2024.06.29. 16:24,이뿐데 어떤 디자인은 뒷꿈치 까짐 ㅜ 운동화인데...,5,0,0
2024.06.29. 14:06,난 아식스가 좋아 나이키 구려,5,0,0
2024.06.29. 18:32,"남자라면 , 나이와 키지.",6,2,2
2024.06.29. 12:29,발은 뉴발이 젤 편하지 버질 형님 하늘나라가고 오프화이트 나이키 둘다망한거임 스캇이 나름 선방했지만 난 버질 형님의 더 텐은 나이키 역사의 최고 라고본다,6,2,0
2024.06.29. 15:20,질좋고값싼브랜드가 많아 선택지가 다양해진시대라 나이키는 전 세계를 아우르던 시절 다시 돌아가긴 힘들듯,4,0,0
2024.06.29. 14:17,...신발은스케쳐스임...,4,0,0
2024.06.29. 15:11,나이키는 거지같은 흑인 모델부터 바꿔라 모델때문에 필라보다 더 싸구려 이미지 되는것같다,6,3,0
2024.06.30. 08:33,마라톤은 호카.. 농구는 언더아머.. 축구는 아디다스.. 일상화는 뉴발란스.. 노인은 스케쳐스.. 육상은 아식스.. 호갱은 나이키..,3,0,1
2024.06.30. 07:11,가격에 비해서 신발이 약하고 잘 닳는다. 발볼이 넓은 사람한테는 많이 불편하다.,3,0,0
2024.06.30. 05:15,예전 나이키운동화 디자인 정말 이뻤는데 점점 디자인이랑 색상이 산으로감 어떤건 사이버틱하고 어떤건 색상이 너무튀고,3,0,0
2024.06.30. 01:39,발볼이 넓은 우리 가족에겐 프로스펙스가 편하고 좋음. 신발 가격도 합리적이고. 4만원이면 1컬레 구입함. 나이키는 신었을때 불편함.,3,0,0
2024.06.30. 01:22,일단 품질이. 저질이라...,3,0,0
2024.06.30. 00:54,운동화 는 프로 스펙스!,3,0,0
2024.06.29. 20:53,난 운동화는 온리 나이키~!!!,3,0,0
2024.06.29. 20:48,나이키매장 가보면 딴세상이다....대한민국은.나이키천하..,3,0,0
2024.06.29. 20:07,나이키만 신다가 뉴발란스 신어보고 안삼,3,0,0
2024.06.29. 17:51,스키쳐스 신어요. 르무통이랑,3,0,0
2024.06.29. 17:22,"스케쳐스, 호카로 바꿈. 발 개편함. 자신있게 추천!",3,0,0
2024.06.29. 10:56,아디다스 나이크 pc광고 할때부터 많이 줄었자누,3,0,0
2024.06.29. 10:03,나이키 기능성 내구성 허접함,3,0,0
2024.06.29. 19:09,(아래 글 오타 남)발볼 넓은 우리 아들 신발 사주러갔더니...나이키 자체가..전반적으로 발볼이 좁아서 ...신을만한 모델이 거의 없음..,4,2,0
2024.06.29. 12:15,가성비 스케쳐스~,4,2,0
2024.06.29. 13:06,운동화 예전처럼 가죽도 아니고 천으로 만들면서 가격은 창렬이지.,3,1,0
2024.06.30. 09:14,러닝의류는 나이키가 최고임 가격도싸고 재질은 넘사벽,2,0,0
2024.06.30. 08:00,그래도 나이키가 최고여. 잡 브랜드 신발 신어봤지만 역시 나이키가 최고여.,2,0,0
2024.06.30. 07:37,발볼좁은 나는 나이키가 편하고 뉴발란스는 너무 헐겁,2,0,0
2024.06.30. 07:04,아식스신어라 졸라편하다 디자인도괜찮고,2,0,0
2024.06.29. 23:33,신발 품질이 너무 떨어짐...가격대비 오래 못신음..,2,0,0
2024.06.29. 22:51,발이 편해야 하지만 디자인은 포기 못하지 : 뉴발란스. 발이 편한게 전부고 디자인은 중요하지 않아 : 스케쳐스.,2,0,0
2024.06.29. 22:12,내 주변은 호카.,2,0,0
2024.06.29. 21:10,그런 식이면 삼디다스도 너무 개나 소나 신어서 그닥...ㅋㅋㅋㅋ,2,0,0
2024.06.29. 21:07,사람들 발볼 차이가있어서 뭐가좋다고 얘긴 못하지만 나는나이키가 맞는데?..,2,0,0
2024.06.29. 20:58,제목을 저렇게 쓰시니 나이키 신고있는 사람 비하하는 느낌드네요.,2,0,0
2024.06.29. 19:57,아식스!,2,0,0
2024.06.29. 19:53,스케쳐스 한번 신어보니 개 좋음,2,0,0
2024.06.29. 17:37,요즘 나이키 품질 너무 안좋음,2,0,0
2024.06.29. 16:06,저번주에 샀는데 불편해서 후회중 ㅠㅠ,2,0,0
2024.06.29. 16:00,"나이키모자 그,따위로 처만들래? 옆쪽에 끈끈이인가 스티커 붙여놔서 쓰다보면 기름에떡져서찐득거림 개디다스도 마찬가지. 에라이",2,0,0
2024.06.29. 15:29,매출이 적자났어도 나이키는 절때 안망한다,2,0,0
2024.06.29. 15:04,나이키는 서양체형.....길고 폭이 좁은.....,2,0,0
2024.06.29. 14:42,나이키의 최대 단점은 발볼이 너무 좁아서 한국인한테 잘 안 맞음 그러니 사람들이 편안한 신발 신을려고 뉴발 아식스 신을 수 밖에 디자인 원툴 가지고는 한계가 있지 결국 신발은 실용성이 중요하니까 모델 새로 나오면 수집한다고 진공포장하고 별 짓거리를 다 해 ㅋ,2,0,0
2024.06.29. 14:31,"디자인땜 신는데 불편함 뉴발, 아디다스가 편하긴 하더라",2,0,0
2024.06.29. 14:01,스케쳐스가 최고!!,2,0,0
2024.06.29. 13:18,요즘 뉴발 편하더라,2,0,0
2024.06.29. 12:24,발바닥 폭이 너무 좁아 안신음,2,0,0
2024.06.29. 11:43,스케쳐스 최고예요.쿠션짱이고 하루종일 걸어도 발 불편함이 1도 없어요,2,0,0
2024.06.29. 22:12,나이키 옷이고 신발이고 품질도 그렇고 떨어짐 일단 디자인도 점점 매력없어진다,2,1,0
2024.06.29. 20:58,프로스펙스가 대세더라,2,1,0
2024.06.29. 15:03,조던 덩크 유행할때 이미지가 너무 소진되어서;;요새 범고래 신은사람보면 세련되어보이지않음. 근데 유행은 돌고돌고 나이키는 워낙 근본이라 또 몇년 지나면 다시 유행되겠지,2,1,0
2024.06.29. 12:20,돌고돌아 결국은 나이키..,2,1,0
2024.06.29. 11:44,축구 국가대표 유니폼은 왜 아직도 나이키 인건지?,2,1,0
2024.06.30. 07:34,가격은 자꾸 오르는데 반해 내구성과 품질은 완전 싼마이 수준 특히 의류.,1,0,0
2024.06.30. 07:08,무조건 스케쳐스죠엄청편하고 디자인도 매번업그레이드 나이키 변화가 너무 느림,1,0,0
2024.06.30. 07:01,비싸고 편하지도 않음..다른 상품들도 많아서 선택폭이 넓어짐.,1,0,0
2024.06.30. 03:16,그냥 익숙해서,1,0,0
2024.06.30. 02:31,뉴발란스만 신어도 이랜드는 나이키 따라가지도 못함,1,0,0
2024.06.30. 02:22,이름값 못 하는 브랜드.내구성은 저질인데 A/S도 잘 안됨.신지않고 그냥 전시용신발,1,0,0
2024.06.30. 01:28,프로스펙스의 나라가 나이키를 걱정하네,1,0,0
2024.06.29. 23:42,디자인도 그렇지만 몇십만원주고산 신발이 3달도못신고 밑창 에어다터짐...실용성제로임...,1,0,0
2024.06.29. 23:37,내가 신는다.,1,0,0
2024.06.29. 23:26,나이키는 발볼이 넘 좁아서 불편해서 안 신음,1,0,0
2024.06.29. 22:33,솔직히 메이커던 아니던 신발이 편해야지요즘너무 터무늬없이 비싸기만하고 실용성 없음,1,0,0
2024.06.29. 22:25,호카 많이 신더라,1,0,0
2024.06.29. 22:11,요즘 맨날 한정판 ᆢ드로우 이딴거만 신경쓴다 했다ᆢ,1,0,0
2024.06.29. 21:44,줌 보메로 너무 편해서 이것만 신음,1,0,0
2024.06.29. 21:39,나이키 옷도 입을게 없다..디자인이 매번 그게 그거고,1,0,0
2024.06.29. 21:18,"나이키 가장 큰 문제점. 1. 클래식 제품에 희소성과 프리미엄 부여 실패 / 예를 들면 완벽한 복각만 낼게 아니라 더 나은 소재로 더욱 완벽한 복각으로 가치를 올려야 하는데, 박리다매를 못 벗어나다보니 금덩이 같은 모델들 가치를 스스로 훼손함. 2. 신발의 기본… 사이즈의 다양성 떨어지다보니 보니 신제품 착화감이 전부 좋지 않음. 3. 정체성이 모호함. 완전 운동용도 아니고 그렇다고 패션용으로도 뭔가 부족함. 브랜드를 나눌 필요가 있음.",1,0,0
2024.06.29. 20:58,나도 나이키만 신어,1,0,0
2024.06.29. 20:44,아식스,1,0,0
2024.06.29. 20:06,볼 있어서 그런가 아디다스가 좋더라 ^^;,1,0,0
2024.06.29. 20:05,나이키 천으로 된 운동화 신고 삽질 많이 해도 밑창만 조금 까지지 옆구리 터지지도 않고 분리되는. 일도 없다 그만큼 좋다는것 하지만 좋아도 가격이 너무 너무 비싸서 살때는 망설여짐,1,0,0
2024.06.29. 19:15,조던이후 캐릭터가 없다…,1,0,0
2024.06.29. 19:04,"에어맥스시리즈는 뻑하면 에어터져 불안해서 신지를못해. 아식스, 뉴발보다 편하길하나 기능이좋나... 조던시리즈만 감성으로신는거지",1,0,0
2024.06.29. 17:57,"나이키, 일단 비싸고 발이 불편하고 AS잘 안되고",1,0,0
2024.06.29. 17:53,판매량 1위임,1,0,0
2024.06.29. 17:45,그래도 신발은 나이키지만 옷은진짜 보세옷보다도못한재질,1,0,0
2024.06.29. 17:44,크록스가 젤 편하지,1,0,1
2024.06.29. 17:42,미안합니다 제가 신습니다,1,0,0
2024.06.29. 17:15,나이키의 가장 근본적인 문제는 신발 본연의 의미를 망각했다는 점이다. 나이키 신발은 몇번 사면 십중팔구 발이 아픈 신발이 나옴.,1,0,0
2024.06.29. 16:25,잘못사면발아파요~,1,0,0
2024.06.29. 16:11,나이키가 발이 불편하긴함,1,0,0
2024.06.29. 16:04,"나이키 의류, 디자인 깔끔하고 원단 짱짱해서 많이 입었었는데 몇년전부터 면 원단 구매하면 옷 버릴때까지 수십번을 세탁하고 건조해도 먼지가 풀풀; 심지어 옷 먼지 너무 심해서 기관지염까지 걸린뒤로는 원단 쓰레기같아서 옷 안사입은지 좀 됫음,,,",1,0,0
2024.06.29. 15:23,난 스케쳐스만 신는다,1,0,0
2024.06.29. 15:15,질이 상당히 떨어짐,1,0,0
2024.06.29. 15:10,쓸데 없이 비쌈,1,0,0
2024.06.29. 15:03,나이키 신상 100만원 이상급 신발 나오면 호구들이 잘사준다 ㅋ,1,0,0
2024.06.29. 15:01,"옛날이나 나이키지. 편안하고 디자인 이쁜, 좋은 운동화도 많아졌다. 신발만 만드는 회사, 등산에 관련된 회사, 그리고 옷만드는 회사 등.. 운동화도 잘만들어요. 그래서 선택의 폭이 많아져서 좋지.",1,0,0
2024.06.29. 14:46,난 무조건 아디다스,1,0,0
2024.06.29. 14:40,누가 신긴 뉴진스가 신고 내가 신지^^,1,0,0
2024.06.29. 14:22,90년 ~ 00년대에 농구만화와 축구 만화가 유행해서 한창 한국에서도 일상화로 나이키 농구화 신고 다녔는데... 요즘 친구 아들래미나 딷래미들 보면 그냥 자기 패션에 어울리는 브랜드를 신고다니더군요.,1,0,0
2024.06.29. 14:04,요새 누나 나이키를 신냐 올드하게.. 신발은 슬래진저가 진리야,1,0,0
2024.06.29. 13:59,일단 너무비싸. 전부 중국 아님 동남아 제품인데.,1,0,0
2024.06.29. 13:46,디자인 ㅡㅡ구림,1,0,0
2024.06.29. 13:37,예전엔 나이키였는데 요즘 넘 슬림한것만 나와서 발볼이 넓은 난 퓨마나 아디다스가 더 낫더라구~ 돈들여 연구좀 하길~,1,0,0
2024.06.29. 13:36,나이키는 딱 아울렛급이지,1,0,0
2024.06.29. 13:09,"사실 셀럽, 브랜드 콜라보나 조던 등 아이템 가치있는 몇몇 빼고는 나이키는 가치가없음. 역사가 긴데도 최근 많이 뛰고 걷고 해보면서 어느정도 중상이상 가격에 런닝화 농구화 등등 신어본결과 나이키가 가장 먼저 손상되고 꺼지고 발의 피로도와 통증이 제일심함. 호카도 편한거에비해 내구성 쉣. 뉴발 아디다스가 제일 나았음.",1,0,0
2024.06.29. 13:06,진짜 발볼 넓은 사람은 나이키 안 신게 되고 요즘은 가볍고 편한 신발이 많아서.......,1,0,0
2024.06.29. 13:01,나이키 발볼도 좁게 나오고 재질이나 마감도 예전 같지 않은데 상태에 비해 가격이 과하다고 생각이 듬,1,0,0
2024.06.29. 12:43,발아퍼서 못신겠으,1,0,0
2024.06.29. 12:36,나 줘 나이키,1,0,0
2024.06.29. 12:30,나이키의 문제점은 정말 제값을 못한다는데 있음 포스나 코르테즈 조던 아무리 이쁘면 뭐하냐 불량이나 디테일 안좋고 밑창은 지우개급으로 빨리 닳는데,1,0,0
2024.06.29. 12:29,디자인은 너무 이뻐서 충동구매했는데 무겁고 볼도 넓고 불편해서 잘안신고 진열용인게 열켤레는되는듯 ㅠㅠ골프화도 마찬가지…디자인은 편하게 생겨서 편하지 않아요,1,0,0
2024.06.29. 12:17,나이키 너무 비싸...아울렛에가면 40퍼센트 이상 세일상품만 사게되더라...정가주고 사라면...이돈주고 이걸? 굳이? 이런생각듬...,1,0,0
2024.06.29. 12:08,러닝 신발 시장만 놓고 보면 춘추전국시대임.,1,0,0
2024.06.29. 11:59,나이키 에어 맥스 신은지 3개월만에 에어터짐 보니깐 에어튜브 본드접한부분 떨어졌더라 ? 요즘 품질 개판임,1,0,0
2024.06.29. 11:03,본인한테 맞는 거 신으면 됨~,1,0,0
2024.06.29. 10:44,기능성에 비해서 가격이 높아서~~,1,0,0
2024.06.29. 09:47,기자 메일이 독일이네? 그래서 이런기사 썼나? 아디다스 띄울라고,23,23,10
2024.06.29. 14:04,"뉴바란스? 디쟈인구리고, 색상구리고 어딜 나이키에 개겨?",4,4,0
2024.06.29. 10:26,나이키 신발이 어때서?지금도 러닝 신발 브랜드중 아디다스와 함께 탑인것 맞지. 가격만 조금 착해지면 불티나게 팔릴듯.,3,3,0
2024.06.29. 19:07,발볼 넓은 우리 아들 신발 사주러갔더니...나이키 자체가..전반적으로 발볼이 좁아서 ...신을만한 모델이 거의 잆음..,2,2,0
2024.06.29. 18:13,그래도 결국 나이키로 돌아오게 되더라...,2,2,0
2024.06.29. 13:36,나이키 보면 시골에서 상경한 시골 청년들이 멋있다고 착각해서 신는 신발 느낌임......,2,2,0
2024.06.29. 10:18,대학교때 맥스95로 풀코스 완주했고 지금도 95 페가수스 포스 기타 잘신고있다 난 나이키 괜찮다,2,2,0
2024.06.30. 11:41,난 나이키만 신는데...지금도 나이키 운동화 10켤레정도 있는데 너무 편해서 나이키만 신게됨..족저근막염이라 이신발 저신발 다 신어봤는데 의외로 나이키가 선방함,1,1,0
2024.06.30. 11:41,마감 상태보고 짭인지 알았는데 후기보니 나이키는 마감상태 좋은게 짭이라드라ㅋㅋ,1,1,0
2024.06.30. 09:59,"드럽게 불편하고 모양도 이상해졌고 신어보면 발볼도 좁게 나와서 좀 신다보면 다시는 안신게되는남자발이 여자발도 아닌데 발볼을 왜케 줄여서 나오냐,, 그러니까 맥스고 나발이고 편한 신발이 없어 나이키는,, 아디다스야 싼맛에 신기라도 하지,, 기본부터 충실해라,,",1,1,0
2024.06.30. 01:47,신발은 스베누지,1,1,0
2024.06.29. 23:42,나이키는 넓은발에 배려가없어 디자인 예쁜거 많아서 발만 맞으면 돌아가겠는데 그거 찾는 고생하느니 뉴발신음,1,1,0
2024.06.29. 23:02,지라르 풍자크 ..니 앞가림이나 해라 나이키는 잘 먹고 잘 산다 ...,1,1,0
2024.06.29. 22:23,누가신긴 많이 신어요. ㅋㅋㅋ,1,1,0
2024.06.29. 21:00,난 뉴발이 제일 불편하던데..,1,1,0
2024.06.29. 17:08,운동화 나이키 아니면 안신는다,1,1,0
2024.06.29. 16:23,나이키 주가는 21년 최고점 찍었다가 지금 반토막 나있어. 한국에선 범고래만 출몰할 정도로 제품개발에 신경안쓰지. 수족관이냐? ㅋㅋㅋ 현재 나이키와 아디다스의 시장점유율은 엄청나게 줄었어. 가장 큰 이유는 당연히! 중국이야. 현재 중국의 스포츠웨어 시장점유율은 1위 안타 2위 나이키 3위 리닝 4위 아디다스야. 요즘은 ‘On Running’ ‘Hoka’가 전세계적으로 치고나가는 브랜드야. 참고로 잘나가는 운동화는 ‘아식스’와 ‘On’이야. 특히 On은 2015/16년 최고의 성능 신발 ISPO금상을 수상했어. 나이키는 한물갔어.,1,1,0
2024.06.29. 16:22,우리 가족은 전부 나이키 신는데.너흰 그럼 나이스 신냐?주가 내렸다고 미국의 코카콜라 맥기도날드 나이키가. 롯데리아 프로스펙스보다 못하냐 ㅋㅋ,1,1,0
2024.06.29. 16:07,요즘 누가 나이키를 신나...조선 고무신이 대세인데....!고무신이 짱이다!대체적으로 크록스 고무신 어때?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1,0
2024.06.29. 14:40,나이키 구려 노인들이나 신음,1,1,0
2024.06.29. 13:43,나이키 별로이긴 함~ 비싸게 그렇게 받으면 품질에 좀 더 신경을 쓰라~ 요즘은 나이키 말고도 고를수 있는 브랜드들도 많운데,1,1,0
2024.06.29. 13:17,원가 만원대 가방을 수백만원 처주고 구입하는 나라가 대한민국인데 왜 나이키가지고 그러냐?,1,1,0
2024.06.29. 10:25,나이키가 어때서?,1,1,0
2024.07.05. 22:15,가격은 비싼반면에 발은 불편하고 퀄리티가 떨어지는데 누가 신어 아이다스가 오히려 패션탬임,0,0,0
2024.07.02. 16:31,에어맥스 라인업 대로 해마다 사다가 베이퍼맥스 최근것의 그 재생소재들을 보면 토가 나오는 수준의 마감과 퀄리티다. 시그니처급 라인업으로 믿어지지 않는 반면 뉴발란스의 미제 990 v6시리즈를 보면 헤리티지를 잇는 느낌이다. 한평생 나이키만 신다 뉴발로 갈아탄 이유다.,0,0,0
2024.07.01. 15:24,조던을 기억하는 사람이 점점 줄고 있으니…,0,0,0
2024.07.01. 01:03,"조던 은퇴 이후 농구화는 인기추락!대신,우즈가 올려 줬지!이벤트 신발은 한즹판 하다가 말아 먹고!런닝화는 아식스가 나몰라라 이후에는 따라가는 추세!이러다가는 추락의 추락을 거듭하겠더먼!",0,0,0
2024.06.30. 12:42,직영강화 전략 외치다 골로 간 대표기업,0,0,0
2024.06.30. 11:28,나이키 발이 안편해서 사놓고 그냥있다 !제발 모양에만 신경끄고 발편한 신발을 만들어!,0,0,0
2024.06.30. 11:27,꼰대 브랜드. ㅎ,0,0,0
2024.06.30. 11:15,조던 로열티로 조던한테 막 퍼다주니 망할수밖에 없지,0,0,0
2024.06.30. 11:08,난 리복 신는데?,0,0,0
2024.06.30. 10:25,핏이 어쩌고 하면서 발 볼 넓은거 안팔때 부터 나이키 안신었음.,0,0,0
2024.06.30. 09:55,되팔이의 성지 나이키,0,0,0
2024.06.30. 09:44,스케쳐스 아치핏 신어보면 집에있는 나이키 다 버리게 될거임,0,0,0
2024.06.30. 09:36,운동화 많이 사는 편인데 나이키 뉴발 아식스 아디다스 오니즈카타이거 다 신음 그냥 그때 그때 옷이랑 어울리는거 신음 되지ㅠㅋㅋㅋㅋㅋㅋ 발볼 편한건 뉴발이랑 아식스고 나이키 에어있는게 편하긴 함 그리고 족저근막염 있으면 무조건 쿠션있는 양말이랑 족저근막염 깔창 추천,0,0,0
2024.06.30. 09:33,기사제목 잘뽑았다,0,0,0
2024.06.30. 09:30,뉴발은 신발이 무거워서 별로 나이키 러닝화 발볼 넓어도 좋던데ㅋ,0,0,0
2024.06.30. 09:29,"베트남, 중국, 인도네시아에서 만들면서 15~25만원 하는데 반해 내구성은 떨어지니 안사지. 아디다스는 내구성 더 떨어지지만 영한 느낌때문에 구매력이 유지되는 듯 하고.",0,0,0
2024.06.30. 09:27,내가신는다,0,0,0
